ID	Height
A100001	66
A100002	65
A100003	72
A100004	69
A100005	64
A100006	62
A100007	74
A100008	65
A100009	69
A100010	64
A100011	81
A100012	74
A100013	70
A100014	73
A100015	66
A100016	75
A100017	76
A100018	66
A100019	73
A100020	73
A100021	65
A100022	71
A100023	75
A100024	72
A100025	62
A100026	67
A100027	64
A100028	67
A100029	71
A100030	73
A100031	77
A100032	66
A100033	65
A100034	69
A100035	69
A100036	77
A100037	69
A100038	69
A100039	68
A100040	76
A100041	69
A100042	64
A100043	75
A100044	72
A100045	74
A100046	69
A100047	63
A100048	73
A100049	69
A100050	72
A100051	62
A100052	72
A100053	62
A100054	71
A100055	72
A100056	74
A100057	89
A100058	68
A100059	71
A100060	71
A100061	76
A100062	68
A100063	78
A100064	68
A100065	73
A100066	77
A100067	77
A100068	72
A100069	63
A100070	68
A100071	75
A100072	62
A100073	71
A100074	68
A100075	72
A100076	68
A100077	71
A100078	65
A100079	72
A100080	72
A100081	72
A100082	75
A100083	71
A100084	68
A100085	71
A100086	70
A100087	67
A100088	69
A100089	67
A100090	65
A100091	72
A100092	67
A100093	68
A100094	77
A100095	70
A100096	70
A100097	72
A100098	71
A100099	67
A100100	68
A100101	70
A100102	63
A100103	70
A100104	61
A100105	68
A100106	74
A100107	75
A100108	74
A100109	72
A100110	71
A100111	72
A100112	77
A100113	71
A100114	72
A100115	74
A100116	70
A100117	72
A100118	73
A100119	70
A100120	77
A100121	72
A100122	63
A100123	67
A100124	75
A100125	70
A100126	69
A100127	67
A100128	68
A100129	65
A100130	72
A100131	67
A100132	63
A100133	67
A100134	66
A100135	78
A100136	59
A100137	66
A100138	72
A100139	75
A100140	74
A100141	68
A100142	73
A100143	67
A100144	67
A100145	72
A100146	77
A100147	71
A100148	72
A100149	66
A100150	71
A100151	64
A100152	69
A100153	71
A100154	67
A100155	72
A100156	69
A100157	73
A100158	71
A100159	75
A100160	68
A100161	71
A100162	68
A100163	67
A100164	67
A100165	67
A100166	72
A100167	67
A100168	67
A100169	68
A100170	64
A100171	76
A100172	70
A100173	72
A100174	73
A100175	70
A100176	71
A100177	72
A100178	81
A100179	67
A100180	67
A100181	71
A100182	73
A100183	73
A100184	75
A100185	76
A100186	63
A100187	77
A100188	68
A100189	66
A100190	69
A100191	72
A100192	62
A100193	73
A100194	74
A100195	73
A100196	73
A100197	68
A100198	72
A100199	64
A100200	70
A100201	73
A100202	67
A100203	72
A100204	61
A100205	62
A100206	67
A100207	71
A100208	72
A100209	68
A100210	69
A100211	71
A100212	66
A100213	66
A100214	71
A100215	74
A100216	67
A100217	78
A100218	66
A100219	64
A100220	71
A100221	71
A100222	65
A100223	80
A100224	68
A100225	75
A100226	72
A100227	73
A100228	71
A100229	71
A100230	70
A100231	73
A100232	68
A100233	63
A100234	65
A100235	72
A100236	73
A100237	63
A100238	64
A100239	74
A100240	74
A100241	72
A100242	73
A100243	67
A100244	62
A100245	66
A100246	77
A100247	67
A100248	71
A100249	73
A100250	74
A100251	77
A100252	68
A100253	77
A100254	75
A100255	71
A100256	73
A100257	69
A100258	70
A100259	73
A100260	70
A100261	71
A100262	76
A100263	66
A100264	70
A100265	73
A100266	70
A100267	75
A100268	65
A100269	68
A100270	69
A100271	71
A100272	69
A100273	67
A100274	65
A100275	75
A100276	72
A100277	65
A100278	70
A100279	69
A100280	75
A100281	75
A100282	69
A100283	73
A100284	73
A100285	68
A100286	75
A100287	65
A100288	77
A100289	70
A100290	65
A100291	70
A100292	71
A100293	67
A100294	70
A100295	75
A100296	67
A100297	69
A100298	77
A100299	73
A100300	66
A100301	69
A100302	65
A100303	74
A100304	83
A100305	71
A100306	70
A100307	66
A100308	63
A100309	73
A100310	66
A100311	84
A100312	77
A100313	65
A100314	74
A100315	74
A100316	75
A100317	71
A100318	68
A100319	73
A100320	72
A100321	73
A100322	68
A100323	70
A100324	74
A100325	73
A100326	73
A100327	69
A100328	73
A100329	72
A100330	69
A100331	73
A100332	73
A100333	68
A100334	66
A100335	66
A100336	69
A100337	74
A100338	68
A100339	74
A100340	77
A100341	66
A100342	69
A100343	72
A100344	68
A100345	76
A100346	69
A100347	75
A100348	76
A100349	63
A100350	62
A100351	75
A100352	70
A100353	70
A100354	70
A100355	66
A100356	67
A100357	72
A100358	67
A100359	74
A100360	63
A100361	71
A100362	62
A100363	64
A100364	75
A100365	70
A100366	67
A100367	68
A100368	61
A100369	67
A100370	70
A100371	72
A100372	64
A100373	67
A100374	70
A100375	65
A100376	71
A100377	70
A100378	66
A100379	73
A100380	73
A100381	71
A100382	66
A100383	64
A100384	72
A100385	74
A100386	66
A100387	67
A100388	72
A100389	74
A100390	73
A100391	74
A100392	66
A100393	76
A100394	75
A100395	70
A100396	71
A100397	70
A100398	71
A100399	72
A100400	71
A100401	62
A100402	69
A100403	65
A100404	71
A100405	68
A100406	66
A100407	68
A100408	82
A100409	69
A100410	72
A100411	68
A100412	68
A100413	72
A100414	74
A100415	73
A100416	71
A100417	77
A100418	66
A100419	75
A100420	68
A100421	71
