Longevity ThxLength IndReprod
34 0.78 0
42 0.76 0
30 0.80 0
46 0.88 0
40 0.82 0
49 0.68 1
56 0.80 1
70 0.88 1
64 0.76 1
54 0.88 0
85 0.84 1
76 0.84 1
54 0.88 0
61 0.88 0
56 0.88 0
46 0.76 1
44 0.92 0
76 0.94 1
70 0.84 1
64 0.84 1
70 0.80 1
35 0.84 0
65 0.76 1
34 0.74 0
46 0.84 0
56 0.76 1
76 0.92 1
65 0.80 1
42 0.76 0
19 0.64 0
19 0.68 0
70 0.88 1
26 0.80 0
64 0.72 1
76 0.92 1
33 0.72 0
81 0.84 1
34 0.72 0
54 0.82 0
65 0.84 1
37 0.68 1
39 0.76 1
35 0.84 0
35 0.64 1
30 0.76 0
46 0.84 0
16 0.64 0
46 0.72 1
