gre,gpa,rank
660,3.67,3
800,4,1
640,3.19,4
760,3,2
560,2.98,1
540,3.39,3
760,4,1
700,4,1
540,3.81,1
660,3.63,2
760,3.35,2
800,3.66,1
620,3.61,1
520,3.74,4
780,3.22,2
800,4,3
500,3.13,2
520,2.68,3
580,3.32,2
600,3.15,2
460,3.45,3
580,3.46,2
680,3.27,2
740,4,3
620,3.18,2
680,3.85,3
800,4,3
620,4,1
500,3.6,3
660,4,2
720,3.64,1
660,3.44,2
660,3.95,2
740,2.97,2
700,3.56,1
440,3.45,2
800,3.7,1
520,3.74,2
480,2.67,2
600,3.54,1
620,3.17,2
600,3.58,1
700,3.52,4
480,2.91,1
800,3.74,1
640,3.94,2
580,2.86,4
480,3.58,1
700,3.56,2
800,3.43,2
620,3.37,2
620,3.23,3
540,3.84,2
640,2.94,2
600,3.47,2
400,3.23,4
580,3.2,2
700,4,1
600,3.89,1
780,3.8,3
640,3.63,1
600,3.56,2
660,2.91,3
460,3.64,1
560,3.59,2
480,3.02,1
720,3.5,3
720,3.42,2
800,3.53,1
660,3.49,2
520,3.81,1
680,2.96,3
520,4,2
540,3.55,4
740,3.52,4
520,3.3,2
620,3.95,3
520,3.19,3
620,3.95,3
520,3.9,3
600,3.64,3
680,3.46,2
640,3.95,2
680,3.67,2
600,2.98,2
580,3.58,1
680,3,4
660,3.14,2
440,3.39,2
800,3.22,1
660,3.7,4
620,3.45,2
660,3.6,3
400,3.15,2
680,3.98,2
540,3.17,1
520,3.65,4
300,2.84,2
340,3,2
780,3.63,4
480,3.71,4
560,3.48,2
460,3.64,3
620,3.71,1
660,3.47,3
560,2.65,3
780,4,2
580,3.12,3
540,3.78,2
760,2.81,1
560,3.69,3
520,4,1
540,3.49,1
560,3.36,1
540,3.77,2
680,3.76,3
680,2.42,1
620,3.37,1
800,4,2
540,3.49,2
480,2.62,2
740,3.86,2
800,3.05,2
660,3.88,2
600,3.38,3
620,3.75,2
460,3.99,3
